#nct_id	eligibility_type	criterion
NCT04346355	inclusion	age > 18 years
NCT04346355	inclusion	Informed consent for participation in the study
NCT04346355	inclusion	Real time polymerase chain reaction (PCR) diagnosis of Sars-CoV2 infection
NCT04346355	inclusion	Hospitalization due to clinical / instrumental diagnosis (high resolution chest CT scan or chest x-ray or pulmonary ultrasound)
NCT04346355	inclusion	Presence of acute respiratory distress syndrome with arterial partial pressure of oxygen / fraction of inspired oxygen (PaO2 / FiO2) between 200 and 300 mm/Hg
NCT04346355	inclusion	Presence of exaggerated inflammatory response defined by the presence of at least 1 of the following criteria: At least one body temperature measurement >38° C in the past two days
NCT04346355	inclusion	Presence of exaggerated inflammatory response defined by the presence of at least 1 of the following criteria: Serum CRP greater than or equal to 10 mg/dl
NCT04346355	inclusion	Presence of exaggerated inflammatory response defined by the presence of at least 1 of the following criteria: CRP increase of at least twice the basal value
NCT04346355	exclusion	Patients with respiratory distress syndrome with arterial partial pressure of oxygen / fraction of inspired oxygen (PaO2 / FiO2) <200 mm/Hg or
NCT04346355	exclusion	Patients in non-invasive ventilation or
NCT04346355	exclusion	Patients in invasive ventilation or presence of shock or presence of concomitant organ failure that requires admission to the Intensive Care Unit
NCT04346355	exclusion	Severe heart and kidney failure
NCT04346355	exclusion	Pregnant or breastfeeding patient
NCT04346355	exclusion	Patient who, in the opinion of the clinician or by the patient's express will, will not go to intensive care regardless of the evolution of the lung picture
NCT04346355	exclusion	Known hypersensitivity to TCZ or its excipients
NCT04346355	exclusion	Patient being treated with immuno-depressors or anti-rejection drugs
NCT04346355	exclusion	Known active infections or other clinical conditions that contraindicate TCZ and cannot be treated or resolved according to the physician's judgment
NCT04346355	exclusion	glutamate-pyruvate transaminase (GPT) or glutamine oxaloacetic transaminase (GOT) > 5 times the upper limit of the norm
NCT04346355	exclusion	Neutrophils <500 /mmc
NCT04346355	exclusion	Platelets <50.000 /mmc
NCT04346355	exclusion	Diverticulitis or intestinal perforation
NCT04346355	exclusion	Suspicion of latent tuberculosis
NCT04344951	inclusion	Age 18 or older
NCT04344951	inclusion	Both genders
NCT04344951	inclusion	For women of childbearing age, they should use or be willing to use a double contraceptive method during the study. A urine pregnancy test to exclude pregnancy will be performed prior to study initiation
NCT04344951	inclusion	Written consent after information provided by the patient or the legal representative in the event that the patient cannot consent
NCT04344951	inclusion	Upper respiratory or lower respiratory tract infection, as in Annexes II and III respectively
NCT04344951	inclusion	Positive respiratory secretion test for SARS-CoV-2 virus by molecular techniques or positive blood IgM titers
NCT04344951	exclusion	Under 18 years of age
NCT04344951	exclusion	Denial of written consent
NCT04344951	exclusion	Any patient case where it has been decided not to rejuvenate
NCT04344951	exclusion	Serum AST values greater than 5 times the upper normal range
NCT04344951	exclusion	QTc interval in rest electrocardiogram greater than 500msecs
NCT04344951	exclusion	Pregnancy or lactation. Urgent pregnancy test to exclude pregnancy before inclusion in the study
NCT04344444	inclusion	Age greater than 18 years
NCT04344444	inclusion	Positive SARS-CoV-2 testing or consistent clinical syndrome (based on clinical picture e.g. characteristic infiltrates on chest x-ray, laboratory findings, and with agreement by two physicians) in patients under investigation (PUIs)
NCT04344444	inclusion	Onset of symptoms < 7 days from date of enrollment
NCT04344444	inclusion	Oxygen saturation of >94% on room air with defined risk factors (Table 1) consistent with moderate disease OR oxygen saturation of < 94% on room air consistent with severe disease
NCT04344444	inclusion	Ability and willingness to comply with study procedures
NCT04344444	exclusion	QTc greater than 450 milliseconds on screening EKG
NCT04344444	exclusion	Pregnant or lactating women
NCT04344444	exclusion	Inability to take oral pills or inability to use a feeding tube
NCT04344444	exclusion	Inability to obtain informed consent either from the patient or from the next of kin if patient is incapacitated. For the purpose of this study obtaining a verbal consent from a family member on the phone with a witness will be considered acceptable since there is a 'no visitor' policy in force at hospitals
NCT04344444	exclusion	Patients requiring ICU level care
NCT04344444	exclusion	use of azithromycin or hydroxychloroquine within 30 days prior to admission
NCT04344080	inclusion	confirmed COVID-19 disease
NCT04344080	inclusion	refractory shock with need for norepinephrine ≥ 0.2 μg/kg/min for MAP ≥ 65 mmHg
NCT04344080	inclusion	IL6 ≥ 500 ng/l
NCT04344080	inclusion	Indication for CRRT or ECMO
NCT04344080	exclusion	Liver cirrhosis Child Pugh C
NCT04344080	exclusion	do not resuscitate"-order
NCT04344080	exclusion	expected survival due to comorbidities < 14 days
NCT04344080	exclusion	pregnancy or breastfeeding
NCT04344080	exclusion	participation in another interventional trial
NCT04344015	inclusion	Age 18 years and older
NCT04344015	inclusion	Prior diagnosis of COVID-19 documented by a laboratory test approved by the FDA
NCT04344015	inclusion	Either: Complete resolution of all COVID-related symptoms for 14-28 days at the time of blood donation AND negative repeated SARS-CoV-2 test OR Complete resolution of all COVID-related symptoms for > 28 days
NCT04344015	inclusion	Male donors, never-pregnant female donors, or previously pregnant female donors negative for HLA antibodies
NCT04344015	inclusion	Meet all criteria for volunteer blood donation per Jefferson Blood Donor Center and the FDA
NCT04344015	exclusion	Failure to pass standard volunteer blood donor screening criteria required by the Jefferson Blood Donor Center and the FDA
NCT04344015	exclusion	Female donors with HLA antibodies (per FDA requirements for convalescent plasma donors)
NCT04344015	exclusion	Inadequate venous access for phlebotomy
NCT04344015	exclusion	Currently pregnant
NCT04343989	inclusion	In order to be eligible to participate in this study, the patients must meet all of the following criteria
NCT04343989	inclusion	At least 18 years of age
NCT04343989	inclusion	Confirmed COVID-19 disease (by Cobas SARS-CoV-2 real time RT-PCR using nasopharyngeal swab sample, or equivalent test available to be performed by the NYU Langone clinical laboratory). Effort will be made to have the confirmatory test result <72 hours prior to enrollment however given overall clinical demand this may not be feasible in all cases
NCT04343989	inclusion	Respiratory failure manifesting as: Acute Respiratory Distress Syndrome (defined by a P/F ratio of <200), OR SpO2 < 90% on 4L (actual or expected given higher O2 requirement) OR increasing O2 requirements over 24 hours, PLUS 2 or more of the following predictors for severe disease
NCT04343989	inclusion	CRP > 35 mg/L Ferritin > 500 ng/mL D-dimer > 1 mcg/L Neutrophil-Lymphocyte Ratio > 4 LDH > 200 U/L Increase in troponin in patient w/out known cardiac disease
NCT04343989	inclusion	Has a consent designee willing to provide informed consent on behalf of the patient (this assumes that a mechanically ventilated patients lacks capacity to consent on his/her own behalf. Should it be deemed that the patient has capacity to consent, consent may be obtained from the patient.)
NCT04343989	inclusion	Women of childbearing potential must be willing and able to use at least one highly effective contraceptive method for a period of 5 months following the study drug administration. In the context of this study, an effective method is defined as those which result in low failure rate (i.e. less than 1% per year) when used consistently and correctly such as
NCT04343989	inclusion	combined (estrogen and progestogen containing) hormonal contraception combined (estrogen and progestogen containing) hormonal contraception (oral, intravaginal, or transdermal)
