Age 0 3 0 3 B-age
> 4 5 4 5 O
18 6 8 6 8 B-lower_bound
years 9 14 9 14 I-lower_bound

At 0 2 15 17 O
least 3 8 18 23 O
one 9 12 24 27 B-lower_bound
of 13 15 28 30 O
the 16 19 31 34 O
stenoses 20 28 35 43 O
must 29 33 44 48 O
cause 34 39 49 54 O
≥ 40 41 55 56 O
50 42 44 57 59 B-lower_bound
% 44 45 59 60 I-lower_bound
reduction 46 55 61 70 O
of 56 58 71 73 O
the 59 62 74 77 O
sinus 63 68 78 83 B-clinical_variable
lumen 69 74 84 89 I-clinical_variable
diameter 75 83 90 98 I-clinical_variable

Established 0 11 99 110 O
diagnosis 12 21 111 120 O
of 22 24 121 123 O
Idiopathic 25 35 124 134 B-chronic_disease
Intracranial 36 48 135 147 I-chronic_disease
Hypertension 49 61 148 160 I-chronic_disease
according 62 71 161 170 O
to 72 74 171 173 O
the 75 78 174 177 O
criteria 79 87 178 186 O
of 88 90 187 189 O
the 91 94 190 193 O
2004 95 99 194 198 O
International 100 113 199 212 O
Classification 114 128 213 227 O
of 129 131 228 230 O
Headache 132 140 231 239 O
Disorders 141 150 240 249 O
( 151 152 250 251 O
Table 152 157 251 256 O
3 158 159 257 258 O
) 159 160 258 259 O

Failure 0 7 260 267 O
is 8 10 268 270 O
defined 11 18 271 278 O
by 19 21 279 281 O
the 22 25 282 285 O
absence 26 33 286 293 O
of 34 36 294 296 O
visual 37 43 297 303 O
function 44 52 304 312 O
improvement 53 64 313 324 O
after 65 70 325 330 O
1 71 72 331 332 B-upper_bound
month 73 78 333 338 I-upper_bound
of 79 81 339 341 O
treatment 82 91 342 351 B-treatment
and/or 92 98 352 358 O
medication 99 109 359 369 B-treatment
intolerance 110 121 370 381 O

Magnetic 0 8 382 390 B-treatment
Resonance 9 18 391 400 I-treatment
Venography 19 29 401 411 I-treatment
( 30 31 412 413 I-treatment
MRV 31 34 413 416 I-treatment
) 34 35 416 417 I-treatment
or 36 38 418 420 O
Computed 39 47 421 429 B-treatment
Tomography 48 58 430 440 I-treatment
Venography 59 69 441 451 I-treatment
( 70 71 452 453 I-treatment
CTV 71 74 453 456 I-treatment
) 74 75 456 457 I-treatment
demonstrating 76 89 458 471 O
bilateral 90 99 472 481 B-chronic_disease
transverse 100 110 482 492 I-chronic_disease
sinus 111 116 493 498 I-chronic_disease
stenosis 117 125 499 507 I-chronic_disease
or 126 128 508 510 O
unilateral 129 139 511 521 B-chronic_disease
transverse 140 150 522 532 I-chronic_disease
sinus 151 156 533 538 I-chronic_disease
stenosis 157 165 539 547 I-chronic_disease
with 166 170 548 552 O
contralateral 171 184 553 566 B-chronic_disease
transverse 185 195 567 577 I-chronic_disease
sinus 196 201 578 583 I-chronic_disease
hypoplasia 202 212 584 594 I-chronic_disease
or 213 215 595 597 O
atresia 216 223 598 605 B-chronic_disease

Mild 0 4 606 610 O
visual 5 11 611 617 B-chronic_disease
function 12 20 618 626 I-chronic_disease
loss 21 25 627 631 I-chronic_disease
, 25 26 631 632 O
defined 27 34 633 640 O
as 35 37 641 643 O
grades 38 44 644 650 O
0,1 45 48 651 654 B-lower_bound
or 49 51 655 657 O
2 52 53 658 659 B-upper_bound
on 54 56 660 662 O
the 57 60 663 666 O
Humphrey 61 69 667 675 B-clinical_variable
Visual 70 76 676 682 I-clinical_variable
